GEMEENTE,TOTAAL-BEVOLKING,OPPERVLAKTE,GEMIDDELDE-BEVOLKINGSDICHTHEID-PER-KM2
QUIEVRAIN,6716,21224041,316
SAINT-GHISLAIN,23004,70176225,328
COLFONTAINE,20430,13616031,1500
HONNELLES,5058,43654914,116
QUEVY,7914,65155813,121
MOUSCRON,56011,40079163,1398
COMINES-WARNETON,17884,61092549,293
BRAINE-LE-COMTE,21327,84680450,252
ENGHIEN,13091,40592737,322
LA LOUVIERE,78774,64241313,1226
LESSINES,18377,72288950,254
LE ROEULX,8191,42796688,191
SILLY,8149,67681492,120
SOIGNIES,26502,110302783,240
ECAUSSINNES,10750,34771584,309
ANDERLUES,11895,17024666,699
BEAUMONT,7060,92973754,76
BINCHE,33002,60660261,544
CHIMAY,9847,197103239,50
ERQUELINNES,9722,44227685,220
FROIDCHAPELLE,3831,86026980,45
LOBBES,5693,32084044,177
MERBES-LE-CHATEAU,4251,30242591,141
MOMIGNIES,5296,85578225,62
THUIN,14565,76170673,191
ESTINNES,7750,72727029,107
HAM-SUR-HEURE-NALINNES,13464,45675375,295
MORLANWELZ,19118,20256084,944
SIVRY-RANCE,4912,72969340,67
ANTOING,7684,31132046,247
CELLES,5553,67135147,83
ESTAIMPUIS,10066,31751939,317
PECQ,5552,32907015,169
PERUWELZ,17216,60559817,284
RUMES,5134,23719533,216
TOURNAI,69593,213750185,326
BRUNEHAUT,7889,46107255,171
LEUZE-EN-HAINAUT,13514,73532205,184
MONT-DE-L'ENCLUS,3579,26929875,133
AMAY,13863,27607896,502
BURDINNE,2986,32569860,92
CLAVIER,4462,79122031,56
FERRIERES,4715,56903040,83
HAMOIR,3798,27801926,137
HERON,5000,38317955,130
HUY,21205,47744373,444
MARCHIN,5231,30000552,174
MODAVE,4029,40370675,100
NANDRIN,5727,35895676,160
OUFFET,2749,40217748,68
VERLAINE,3918,24212196,162
VILLERS-LE-BOUILLET,6310,32706183,193
WANZE,13235,43954728,301
ANTHISNES,4097,37079430,110
ENGIS,5809,27741507,209
TINLOT,2594,37115873,70
ANS,27769,23352252,1189
AWANS,8998,27157046,331
AYWAILLE,11689,79971998,146
BASSENGE,8806,38172185,231
BEYNE-HEUSAY,11995,7320304,1639
CHAUDFONTAINE,20944,25516051,821
COMBLAIN-AU-PONT,5358,22677698,236
DALHEM,6996,36058286,194
ESNEUX,13228,34045837,389
FLERON,16220,13724276,1182
HERSTAL,38772,23541519,1647
JUPRELLE,8997,35357501,254
LIEGE,195576,69391809,2818
OUPEYE,24302,36114488,673
SAINT-NICOLAS,23320,6842074,3408
SERAING,63575,35336022,1799
SOUMAGNE,16302,27137534,601
SPRIMONT,13966,74282666,188
VISE,17333,27991927,619
GRACE-HOLLOGNE,22009,34238270,643
BLEGNY,13130,26070634,504
FLEMALLE,25593,36680766,698
NEUPRE,9786,31690839,309
TROOZ,8076,24195150,334
AMEL,5459,18833117,290
AUBEL,4138,85727644,48
BAELEN,4312,14005434,308
BÜLLINGEN,5532,56839979,97
BÜTGENBACH,5731,107754309,53
DISON,15142,92078923,164
EUPEN,18949,24628977,769
HERVE,17166,99963997,172
JALHAY,8394,15985622,525
KELMIS,10874,24792678,439
LIERNEUX,3493,39848670,88
LIMBOURG,5776,85071866,68
LONTZEN,5516,108447780,51
MALMEDY,12336,83361104,148
OLNE,3818,33073857,115
PEPINSTER,9726,96930619,100
RAEREN,10618,24466263,434
SANKT VITH,9451,68897507,137
SPA,10579,53175559,199
STAVELOT,6895,28691349,240
STOUMONT,3079,853646701,4
THEUX,11992,125148892,96
VERVIERS,55936,150486026,372
WAIMES,7110,97313784,73
WELKENRAEDT,9703,103743875,94
TROIS-PONTS,2542,18121847,140
BURG-REULAND,3998,28730191,139
PLOMBIERES,9907,74214023,133
THIMISTER-CLERMONT,5496,146928079,37
BERLOZ,2924,14489060,202
BRAIVES,5948,43996744,135
CRISNEE,3087,16831269,183
DONCEEL,2962,23308877,127
FEXHE-LE-HAUT-CLOCHER,3224,19252544,167
GEER,3199,23623678,135
HANNUT,15583,86531536,180
LINCENT,3200,14745411,217
OREYE,3635,19635873,185
REMICOURT,5709,22581839,253
SAINT-GEORGES-SUR-MEUSE,6529,20896065,312
WAREMME,14769,31043315,476
WASSEIGES,2718,24447016,111
FAIMES,3777,28478106,133
ARLON,28289,118635569,238
ATTERT,5166,70935702,73
AUBANGE,16031,45598310,352
MARTELANGE,1719,29672424,58
MESSANCY,7999,52433828,153
BASTOGNE,15098,172029942,88
BERTOGNE,3212,91672167,35
FAUVILLERS,2216,74112989,30
HOUFFALIZE,5044,166576620,30
VIELSALM,7468,139763779,53
VAUX-SUR-SURE,5235,135868939,39
GOUVY,5017,165110148,30
SAINTE-ODE,2415,97864959,25
DURBUY,11207,156606191,72
EREZEE,3089,78435643,39
HOTTON,5448,57315509,95
LA ROCHE-EN-ARDENNE,4247,147524848,29
MARCHE-EN-FAMENNE,17419,121404944,143
NASSOGNE,5306,111960148,47
RENDEUX,2502,68831680,36
TENNEVILLE,2697,91806850,29
MANHAY,3313,119807849,28
BERTRIX,8494,137700185,62
BOUILLON,5427,149085699,36
DAVERDISSE,1405,56403121,25
HERBEUMONT,1559,58808394,27
LEGLISE,4796,172921866,28
LIBIN,4908,139723899,35
NEUFCHATEAU,7277,113794475,64
PALISEUL,5220,112956734,46
SAINT-HUBERT,5647,111157498,51
TELLIN,2478,56638984,44
WELLIN,3001,67516544,44
LIBRAMONT-CHEVIGNY,10579,177863557,59
CHINY,5167,113692902,45
ETALLE,5684,78104498,73
FLORENVILLE,5512,146912024,38
MEIX-DEVANT-VIRTON,2742,54199214,51
MUSSON,4431,34810765,127
SAINT-LEGER,3361,35861066,94
TINTIGNY,3969,81791048,49
VIRTON,11508,94494256,122
HABAY,8260,103640801,80
ROUVROY,2076,27678426,75
ANHEE,7071,65668692,108
BEAURAING,8858,174546992,51
BIEVRE,3218,109589467,29
CINEY,15661,147560318,106
DINANT,13584,99800564,136
GEDINNE,4457,151556957,29
HAMOIS,7070,76415061,93
HAVELANGE,5051,104731327,48
HOUYET,4646,122312551,38
ONHAYE,3148,65534848,48
ROCHEFORT,12474,165273371,75
SOMME-LEUZE,5027,95090192,53
YVOIR,8882,56838567,156
HASTIERE,5703,56463280,101
VRESSE-SUR-SEMOIS,2743,101037806,27
ANDENNE,25702,86172936,298
ASSESSE,6693,78156038,86
EGHEZEE,15415,102807580,150
FLOREFFE,7883,38890056,203
FOSSES-LA-VILLE,10037,63236150,159
GESVES,6839,64919746,105
METTET,12789,116782578,110
NAMUR,110096,175692459,627
OHEY,4798,56621930,85
PROFONDEVILLE,11677,50344366,232
SOMBREFFE,8162,35779498,228
SAMBREVILLE,27507,34196530,804
FERNELMONT,7354,65606764,112
JEMEPPE-SUR-SAMBRE,18644,46796948,398
LA BRUYERE,8923,52984274,168
GEMBLOUX,24153,95858779,252
CERFONTAINE,4837,83453747,58
COUVIN,13897,206926628,67
DOISCHE,2919,84017587,35
FLORENNES,11183,133547837,84
PHILIPPEVILLE,9001,156714391,57
WALCOURT,18193,123184127,148
VIROINVAL,5810,120897675,48
